,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-150.6944722289332,41.511615410663005,-229.30966390003766,-93.95312546640477,,
1,0,12.316316480482989,20.201933341875947,-17.19707328958972,37.701815417814984,1.0806496143341064,0.024181069806218147
2,1,123.08645758241418,19.472462783152377,87.77574159042824,146.1772408083359,0.033737972378730774,0.020446304231882095
3,2,177.69808308257905,36.69520743337178,123.02468528736048,228.72152907815553,0.02852623537182808,0.013684581033885479
4,3,208.89052925187943,48.50995764254993,143.1339915744622,272.6892592648362,0.016807476058602333,0.008285315707325935
5,4,207.67425523138672,47.29843837476994,79.5317875909658,256.2182603291898,0.013792553916573524,0.009476031176745892
6,5,229.2379020424744,43.19190757993435,164.4085858990406,299.1814291895671,0.009109464474022388,0.007671113591641188
7,6,280.2061181804844,37.7634054840118,186.39196688314047,321.4950851110609,0.0082299979403615,0.00713526364415884
8,7,286.45792340308356,48.72643575841547,195.89457866584073,372.1236123959364,0.008927877992391586,0.007180509623140097
9,8,283.2141562413747,43.5038288403561,250.39723529571114,396.43066887245186,0.007921753451228142,0.0054971762001514435
10,9,335.3329680789108,38.91221737398071,293.3619492923103,440.7715207689131,0.00640729907900095,0.007523088250309229
11,10,347.823539679122,44.72167621198337,266.79720962506605,410.2660693067603,0.006266260053962469,0.004907883238047361
