TotalTime	Timestep	MeanEpisodeReward	MaxMeanReturn
137.7273530960083	60000	-19.93548387096774	-inf
190.95282101631165	70000	-20.013698630136986	-inf
242.350661277771	80000	-20.023809523809526	-inf
293.4137153625488	90000	-20.063157894736843	-inf
344.2553708553314	100000	-20.1	-20.07
395.1869418621063	110000	-20.1	-20.07
448.09999346733093	120000	-20.1	-20.07
500.40225744247437	130000	-20.16	-20.07
552.7928094863892	140000	-20.31	-20.07
605.1564700603485	150000	-20.32	-20.07
657.7195551395416	160000	-20.28	-20.07
710.3620927333832	170000	-20.28	-20.07
763.0070669651031	180000	-20.23	-20.07
815.5809834003448	190000	-20.21	-20.07
868.0589423179626	200000	-20.18	-20.07
922.559549331665	210000	-20.24	-20.07
975.5768246650696	220000	-20.26	-20.07
1028.4611320495605	230000	-20.27	-20.07
1081.4294955730438	240000	-20.26	-20.07
1134.2526450157166	250000	-20.26	-20.07
1187.2970972061157	260000	-20.26	-20.07
1240.2890810966492	270000	-20.26	-20.07
1293.227682352066	280000	-20.27	-20.07
1346.3761434555054	290000	-20.29	-20.07
1399.4974937438965	300000	-20.32	-20.07
1452.587884426117	310000	-20.29	-20.07
1505.6874940395355	320000	-20.18	-20.07
1561.0059988498688	330000	-20.22	-20.07
1614.648152589798	340000	-20.26	-20.07
1668.492774963379	350000	-20.24	-20.07
1722.0868971347809	360000	-20.23	-20.07
1775.7026205062866	370000	-20.18	-20.07
1829.3972327709198	380000	-20.21	-20.07
1883.2487499713898	390000	-20.15	-20.07
1937.0465078353882	400000	-20.04	-20.04
1990.9795324802399	410000	-19.97	-19.96
2044.9135475158691	420000	-19.95	-19.89
2099.065239429474	430000	-19.88	-19.88
2153.21444773674	440000	-19.83	-19.83
2207.6262402534485	450000	-19.79	-19.79
2262.170189142227	460000	-19.75	-19.75
2316.7509441375732	470000	-19.78	-19.72
2371.364013195038	480000	-19.65	-19.65
2426.072510957718	490000	-19.55	-19.55
2480.7782645225525	500000	-19.43	-19.43
2538.7046222686768	510000	-19.35	-19.35
2593.7669427394867	520000	-19.33	-19.3
2648.903190612793	530000	-19.22	-19.22
2704.246571779251	540000	-19.2	-19.19
2759.531065940857	550000	-19.14	-19.12
2814.9401428699493	560000	-19.07	-19.07
2870.4283106327057	570000	-18.99	-18.98
2925.9874110221863	580000	-18.88	-18.87
2981.785747528076	590000	-18.75	-18.75
3037.6121962070465	600000	-18.67	-18.67
3093.535776615143	610000	-18.53	-18.53
3149.7318184375763	620000	-18.51	-18.51
3205.8034739494324	630000	-18.4	-18.4
3262.0872168540955	640000	-18.35	-18.35
3318.5208189487457	650000	-18.25	-18.24
3374.9071004390717	660000	-18.06	-18.06
3431.4005901813507	670000	-18.0	-18.0
3487.910341024399	680000	-17.82	-17.82
3544.4787344932556	690000	-17.66	-17.66
3601.3448615074158	700000	-17.5	-17.5
3658.220175743103	710000	-17.37	-17.36
3715.214658498764	720000	-17.24	-17.24
3772.3154289722443	730000	-17.09	-17.09
3829.4724292755127	740000	-16.88	-16.88
3886.684657096863	750000	-16.7	-16.7
3944.1140701770782	760000	-16.51	-16.5
4001.6470396518707	770000	-16.32	-16.32
4059.17457818985	780000	-16.15	-16.15
4116.793662786484	790000	-16.11	-16.08
4174.706426858902	800000	-15.95	-15.95
4232.481925010681	810000	-15.77	-15.77
4290.500658035278	820000	-15.67	-15.67
4348.607105731964	830000	-15.56	-15.56
4406.588372468948	840000	-15.39	-15.39
4464.779322147369	850000	-15.27	-15.27
4523.166883945465	860000	-15.21	-15.18
4581.47745013237	870000	-15.31	-15.18
4640.191853284836	880000	-15.21	-15.18
4698.77033996582	890000	-15.14	-15.14
4757.370110988617	900000	-15.15	-15.08
4821.507730960846	910000	-15.15	-15.08
4881.516165733337	920000	-15.05	-15.03
4941.523168087006	930000	-14.91	-14.91
5001.1851189136505	940000	-14.76	-14.76
5060.839984416962	950000	-14.58	-14.58
5120.960627555847	960000	-14.5	-14.5
5180.9853682518005	970000	-14.54	-14.5
5241.14119386673	980000	-14.65	-14.5
5301.299951553345	990000	-14.61	-14.5
5361.720599889755	1000000	-14.48	-14.41
5421.92289018631	1010000	-14.32	-14.32
5482.241011142731	1020000	-14.19	-14.19
5542.643591165543	1030000	-13.93	-13.93
5603.003529548645	1040000	-13.88	-13.82
5663.309743881226	1050000	-13.7	-13.7
5723.573063373566	1060000	-13.54	-13.54
5783.89612531662	1070000	-13.52	-13.46
5844.112035512924	1080000	-13.34	-13.34
5904.304519891739	1090000	-13.23	-13.23
5964.273337364197	1100000	-13.23	-13.23
6024.25014090538	1110000	-13.13	-13.13
6084.302182197571	1120000	-13.07	-13.0
6144.335397481918	1130000	-12.86	-12.86
6204.534752845764	1140000	-12.65	-12.65
6264.566988706589	1150000	-12.42	-12.42
6324.648082494736	1160000	-12.37	-12.33
6384.783275842667	1170000	-12.12	-12.12
6444.926328659058	1180000	-12.08	-12.07
6505.1370487213135	1190000	-11.67	-11.67
6565.26851773262	1200000	-11.65	-11.6
6625.311495780945	1210000	-11.53	-11.53
6685.316281080246	1220000	-11.53	-11.49
6745.426229953766	1230000	-11.6	-11.49
6805.788347959518	1240000	-11.46	-11.46
6865.97686958313	1250000	-11.24	-11.24
6926.070319652557	1260000	-11.1	-11.1
6986.292743444443	1270000	-10.99	-10.94
7046.562796354294	1280000	-10.97	-10.94
7106.813910007477	1290000	-10.88	-10.88
7167.016052722931	1300000	-10.78	-10.74
7227.327176570892	1310000	-10.79	-10.64
7287.647612571716	1320000	-10.51	-10.51
