Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	NumParams	ValAverageReturn	ValFinalReward
7.62141752243042	0	-164.2511397639098	-9.212525944471885	64.50059296936921	-47.02121024902859	-357.752986306132	20.0	0.0	10020	10020	27493	-168.32193198061216	-9.219505473682771
13.904901504516602	1	-173.17057410551524	-9.553015849723508	71.68281844836999	-34.02443645740987	-417.7527872269926	20.0	0.0	10020	20040	27493	-177.04160364676287	-9.583483315908747
19.78165578842163	2	-167.41717932963266	-9.100029610181979	69.11188281637692	-26.428230559575113	-359.42884458981655	20.0	0.0	10020	30060	27493	-169.09084099194712	-9.073464506349817
25.656847715377808	3	-162.18766650387064	-8.600404586766151	62.862359981461076	-32.47647356469972	-375.3978214490187	20.0	0.0	10020	40080	27493	-166.7146795166558	-8.926640640724493
31.51632833480835	4	-153.60266821372048	-8.183451730284807	67.64389971555728	-23.285039402957608	-374.4127911415929	20.0	0.0	10020	50100	27493	-164.79765480565428	-8.820993250679871
37.399970293045044	5	-164.0610177794992	-8.797699558272415	65.22101509748882	-28.817082850284777	-326.5727012895797	20.0	0.0	10020	60120	27493	-166.78762944591443	-8.779977862737718
43.315563678741455	6	-173.78770036910723	-9.205333921036962	67.57079754908196	-27.61585517610896	-359.5473206110342	20.0	0.0	10020	70140	27493	-166.34426595225082	-8.695163384402447
49.20598745346069	7	-152.69284714119107	-8.015938666876838	68.28636871942102	-25.861727442683254	-355.45125301830853	20.0	0.0	10020	80160	27493	-173.2663542103174	-9.09152367936572
55.129305362701416	8	-165.81102306985287	-8.705903615646234	72.20607222338069	-28.843920048089622	-360.5890651995533	20.0	0.0	10020	90180	27493	-166.00748538046696	-8.386199486020287
60.95182514190674	9	-163.42965944427067	-8.574224705339187	71.75427221406441	-23.226017409106277	-403.31169902110554	20.0	0.0	10020	100200	27493	-159.99403024043545	-8.220495009696814
66.84545612335205	10	-163.5132164417179	-8.367086117691823	67.92128744966807	-27.65926272675047	-347.1362482593935	20.0	0.0	10020	110220	27493	-152.64336107303097	-7.952827519260956
72.74928331375122	11	-159.9369289628363	-8.058655472312562	69.87024073846457	-26.473700835883204	-387.80862086467494	20.0	0.0	10020	120240	27493	-159.11706686846628	-8.338276658929686
78.59343457221985	12	-157.2026234472277	-8.022937079580672	68.68990358905528	-15.93449031478751	-398.99944463111774	20.0	0.0	10020	130260	27493	-168.82184779289454	-8.705859337380945
84.47174286842346	13	-168.96107789264627	-8.788731784419593	68.8042715071033	-23.515690204470843	-397.72186782453565	20.0	0.0	10020	140280	27493	-166.3319182554944	-8.543697380239344
90.31713151931763	14	-159.97186987053644	-8.224804537944415	72.60662633809288	-29.01592483750047	-371.2327215943108	20.0	0.0	10020	150300	27493	-162.1314158521938	-8.146577960751483
96.15189599990845	15	-164.11489337617758	-8.194232990119561	75.11455483980816	-27.316830269304624	-456.8016219872947	20.0	0.0	10020	160320	27493	-161.9404527323059	-8.173890487143513
102.02288126945496	16	-165.02902391159424	-8.394394125185796	71.78894661743671	-19.187870908732492	-388.97623359037107	20.0	0.0	10020	170340	27493	-164.44318659469602	-8.353782254711177
107.94145917892456	17	-166.43223056890545	-8.299391726777097	70.82586128565707	-20.798724580444024	-390.87170489442644	20.0	0.0	10020	180360	27493	-173.55798273903522	-8.722171658140745
113.75576329231262	18	-153.47447125607331	-7.839537739131403	74.51418559055861	-13.391811067368037	-416.8908480450493	20.0	0.0	10020	190380	27493	-157.35359760151383	-7.780749606372686
119.6916925907135	19	-163.27186085939155	-8.365946173758127	78.76764310340587	-18.173705804082207	-431.36796514784317	20.0	0.0	10020	200400	27493	-160.384191420876	-7.788923941334178
125.61295914649963	20	-161.73867639654114	-7.9839782162140365	72.50871762767545	-33.5184833790132	-384.0873942436432	20.0	0.0	10020	210420	27493	-163.66816269940512	-8.264998906251781
131.4576849937439	21	-163.53979726487185	-8.132146977346281	76.84757371505206	-30.65681503482103	-406.3191220902268	20.0	0.0	10020	220440	27493	-166.98975469131042	-8.449149938504078
137.32012486457825	22	-157.15041751239104	-7.9477339293704246	82.96904678662982	-22.08239701442474	-448.7142425416829	20.0	0.0	10020	230460	27493	-169.52774763074672	-8.509297591950915
143.19386982917786	23	-163.48213517906183	-8.211387558588166	77.61194000011969	-20.64299720872661	-400.18693119844545	20.0	0.0	10020	240480	27493	-165.694625008284	-8.310928478363984
149.0265142917633	24	-159.9392966933817	-8.055553942407867	77.67861491531144	-22.60541541511101	-469.43976368615824	20.0	0.0	10020	250500	27493	-154.2645002266433	-7.912179259976962
154.88528561592102	25	-156.34405031018375	-7.704356263592029	81.68965665309709	-20.563251176248446	-473.94440681634944	20.0	0.0	10020	260520	27493	-153.40806401489067	-7.408993041477306
160.71066093444824	26	-161.07746819155943	-8.060620363605963	85.50135688986259	-12.596244830956538	-550.3572019488507	20.0	0.0	10020	270540	27493	-161.76130939149735	-8.15292664550502
166.52078914642334	27	-164.33577445462973	-8.249901793788645	79.09074576894817	-29.800012503760705	-420.00153051767745	20.0	0.0	10020	280560	27493	-159.71868389397102	-7.966883971454665
172.3343949317932	28	-160.08085343909116	-7.976205274945922	83.46816636000464	-22.83373455364319	-422.2589861468725	20.0	0.0	10020	290580	27493	-169.78392659909974	-8.509774927772146
178.13005781173706	29	-163.94125277458866	-8.176110244655467	76.70186059100661	-19.627238468296294	-436.01029042450716	20.0	0.0	10020	300600	27493	-169.53960317896883	-8.75537875116619
183.95429968833923	30	-168.77507472451643	-8.490243317633611	86.65437535384547	-29.735819139314927	-678.6119210303324	20.0	0.0	10020	310620	27493	-169.33394734869208	-8.361443415579314
189.75886058807373	31	-155.88177571787185	-7.811810715743298	81.34685977344513	-22.13581297065043	-527.2585464006191	20.0	0.0	10020	320640	27493	-158.8838081470819	-7.941934919748531
195.568133354187	32	-160.81901940215883	-8.203308210394095	82.6540258033042	-25.886000792717805	-659.5191951912886	20.0	0.0	10020	330660	27493	-166.52840400631226	-8.503354348261407
201.38212084770203	33	-175.52230836818958	-8.92028963239558	103.37523121474764	-24.89292762410906	-628.7002995585764	20.0	0.0	10020	340680	27493	-165.98236292568436	-8.367895455426208
207.194815158844	34	-162.32861267039928	-8.140486920056787	90.60424132175831	-19.178597166418644	-798.5907112470586	20.0	0.0	10020	350700	27493	-168.99072899406974	-8.46684307316808
213.00202822685242	35	-171.77207959960455	-8.628395879103987	84.00832491589549	-38.02010503561657	-576.694965515155	20.0	0.0	10020	360720	27493	-172.36511238803726	-8.817421255963128
218.80480933189392	36	-163.46054428833585	-8.187637683694595	84.54333317374585	-22.816158694591106	-543.509904307524	20.0	0.0	10020	370740	27493	-175.47807188114749	-8.775250433415822
224.63982582092285	37	-167.48371357530223	-8.387966288623987	94.37074319323148	-25.013154035318323	-599.4446880105218	20.0	0.0	10020	380760	27493	-172.01367527481509	-8.847153536058114
230.45236825942993	38	-175.10549801687824	-8.432552928871527	97.72792026049515	-16.25133255762037	-592.6108553303781	20.0	0.0	10020	390780	27493	-165.55802772076473	-8.353344176195613
236.23746967315674	39	-157.166001042372	-7.752518296975115	88.14466310454127	-16.02814850158104	-526.160386468678	20.0	0.0	10020	400800	27493	-166.7859170486032	-8.326312747320353
242.10737919807434	40	-167.98325582933188	-9.091796148861524	108.00545364677639	-16.87642918881472	-796.080828513108	20.0	0.0	10020	410820	27493	-169.74325710410133	-8.643743233606191
247.98840880393982	41	-172.85751103584133	-8.862827347917232	102.3453010340122	-28.520384569024564	-805.4723164686825	20.0	0.0	10020	420840	27493	-167.58802730356433	-8.451777888120942
253.8488416671753	42	-170.08459038317525	-8.617544802651729	110.51904383264434	-18.12410056603386	-827.2263834859476	20.0	0.0	10020	430860	27493	-175.73646114669543	-9.258802890655078
259.6932680606842	43	-161.3697405880781	-8.464959513275847	109.82942949416918	-15.560687712046965	-791.3391702056701	20.0	0.0	10020	440880	27493	-173.2395161342745	-8.979358648757978
265.606383562088	44	-165.45006296238526	-8.548595018398833	98.68664969969262	-11.828796150738093	-607.1010173790833	20.0	0.0	10020	450900	27493	-166.08963237511236	-8.114580922737371
271.48766112327576	45	-166.12617245218826	-8.57924698536743	115.37171637395463	-13.82427351563653	-1124.0203298878787	20.0	0.0	10020	460920	27493	-156.42274797105978	-7.8887381477800576
277.38290524482727	46	-178.36040365835294	-9.23522510597714	126.66443647333789	-19.359799990335425	-890.342224881192	20.0	0.0	10020	470940	27493	-179.7088825440042	-9.406772111759123
283.2033247947693	47	-171.06371629947753	-8.74152656841088	110.82974687594204	-25.61778155611718	-974.9609385974818	20.0	0.0	10020	480960	27493	-173.00452290646615	-8.933479364323668
289.106880903244	48	-167.69686512474755	-8.488259735099524	94.58584403223269	-16.80184253474499	-527.378688137606	20.0	0.0	10020	490980	27493	-159.56572016353485	-8.12383699128955
295.07496643066406	49	-170.84274322958473	-9.205467679235369	120.45826663141375	-13.847155566752132	-763.4342971612601	20.0	0.0	10020	501000	27493	-161.9382362197699	-8.378595732179598
300.97333431243896	50	-165.37315061128837	-8.495934185366625	108.66435205181338	-25.428615441629436	-842.7016848264368	20.0	0.0	10020	511020	27493	-179.95878444674648	-9.374985557388781
306.85158610343933	51	-164.4813148112402	-8.57075369349965	120.19963114789677	-13.617711759653226	-1103.5849055692743	20.0	0.0	10020	521040	27493	-183.0237004253326	-10.476968278028242
312.7167751789093	52	-174.4363899130822	-8.910166667126768	128.99041190593707	-13.829832530042454	-1010.1606942105698	20.0	0.0	10020	531060	27493	-168.68033775668817	-8.778381618807279
