Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	NumParams	ValAverageReturn	ValFinalReward
32.09363412857056	0	-163.75188134045055	-8.619329702618643	63.401304332526585	-29.053165160576416	-381.50424598318864	20.0	0.0	10017	10017	28005	-174.4303579080542	-9.463006078008341
65.69420433044434	1	-164.91796872747838	-8.832635034179715	70.75513889165309	-26.304512140746976	-395.9291392371254	20.0	0.0	10017	20034	28005	-162.67597804979988	-8.818762134710704
101.29965114593506	2	-164.49415296784676	-8.842893058181334	64.04793278236532	-38.28445442628234	-373.44429478533465	20.0	0.0	10017	30051	28005	-166.68694088308857	-8.97890760971838
127.79475426673889	3	-168.69775786364607	-8.833553524520102	61.51258234801812	-22.96890267883584	-333.9803796200944	20.0	0.0	10017	40068	28005	-166.0649136506164	-8.946004775946083
168.11197018623352	4	-164.9256836646974	-8.746049572457297	61.637759784479904	-29.140336022507693	-359.36194955198937	20.0	0.0	10017	50085	28005	-166.8704532023469	-8.842172327923437
205.8442370891571	5	-161.59833678075185	-8.42108207066148	63.21958802934233	-20.812520284149045	-345.90931773713186	20.0	0.0	10017	60102	28005	-162.35143011757972	-8.453068513486096
238.97127032279968	6	-159.0086695722605	-8.243018464599324	63.93664774478995	-28.427525896802077	-333.0083464418695	20.0	0.0	10017	70119	28005	-167.7332272798356	-8.780451534761136
277.08183240890503	7	-158.56176173052967	-8.13491609743334	64.14587394480108	-27.445085383631383	-352.2575899689402	20.0	0.0	10017	80136	28005	-159.34343497689858	-8.088865390052819
310.0329873561859	8	-161.7025619623255	-8.316672973566408	66.15081615875006	-23.45418126472822	-363.8473816183267	20.0	0.0	10017	90153	28005	-158.6000558493109	-8.00177714532458
344.77101731300354	9	-154.90004888506905	-7.7901733670076005	66.14169625223617	-23.842951079288735	-357.2257838205822	20.0	0.0	10017	100170	28005	-157.47894945616355	-7.925414953466244
381.701030254364	10	-162.7489723256531	-8.162910739375128	61.9804161214431	-32.14825133473914	-327.1301478846579	20.0	0.0	10017	110187	28005	-155.88431472355154	-7.954371687851967
413.42575430870056	11	-159.5321357105048	-7.9861751022901535	66.21477818670334	-22.513876977205147	-367.2851688343202	20.0	0.0	10017	120204	28005	-150.92298213300273	-7.58685647844226
447.75343012809753	12	-158.97812584955946	-7.842781171138726	61.91897151653685	-23.886459292839213	-358.64715562014453	20.0	0.0	10017	130221	28005	-162.90952311974806	-8.128504739690843
478.7787010669708	13	-153.27938699103208	-7.587901379618128	62.179194308468524	-29.896746795028047	-337.19762733440524	20.0	0.0	10017	140238	28005	-150.37986308036153	-7.445403256479905
504.20013427734375	14	-153.1461156746553	-7.501052332080342	61.88847327875927	-21.624236533148373	-359.8188502760489	20.0	0.0	10017	150255	28005	-153.8560691427565	-7.462982555006586
523.0970041751862	15	-154.01701507716632	-7.3874018931593906	60.51361768864982	-23.17443666377614	-341.88077578415295	20.0	0.0	10017	160272	28005	-149.61676354213202	-7.329878579393152
558.366229057312	16	-149.59470917163668	-7.197280737170841	61.02145603097829	-26.1197244940716	-315.6771850010976	20.0	0.0	10017	170289	28005	-150.29061379313185	-7.2735548949642155
588.3813331127167	17	-152.89467269423807	-7.358341387655426	64.34886154689458	-20.954934546195013	-413.00478875323853	20.0	0.0	10017	180306	28005	-151.37868737760522	-7.2350142391774455
616.2029662132263	18	-151.9037113951397	-7.193385427975171	66.33160708402356	-17.03510101237998	-356.2578784529003	20.0	0.0	10017	190323	28005	-148.40640151557278	-6.976289931535898
642.9662840366364	19	-152.30087349902198	-7.202821405748473	63.83852337486258	-22.218017086123968	-354.1584295311898	20.0	0.0	10017	200340	28005	-147.36267810638984	-7.118346962857149
677.9562439918518	20	-148.75413901297583	-6.985517851159033	62.86658994195767	-20.138845703081273	-352.49208315716027	20.0	0.0	10017	210357	28005	-146.63895704356392	-6.796591854988561
702.0319302082062	21	-149.85707531323118	-6.937154451842798	60.78878810357194	-35.23418935971604	-354.2109043777538	20.0	0.0	10017	220374	28005	-143.09819962054007	-6.760439678088146
725.0984094142914	22	-146.60029905103937	-6.670254015982251	63.09496958399146	-20.149763222636622	-342.27922645766625	20.0	0.0	10017	230391	28005	-141.60769873514548	-6.570912019495343
750.1310710906982	23	-141.27276727231703	-6.352237352605395	58.462405267435	-24.27029135090396	-319.72118605387914	20.0	0.0	10017	240408	28005	-143.7450698593412	-6.432240628648747
777.1716620922089	24	-140.8738439094569	-6.314957594727155	63.847812413769134	-20.59174320458355	-345.76267758608924	20.0	0.0	10017	250425	28005	-142.17909555789126	-6.327485776259104
809.9952073097229	25	-142.87425995702267	-6.4148826883120185	62.81104447228907	-19.741153406896558	-361.71029792584454	20.0	0.0	10017	260442	28005	-141.51748248411042	-6.379439247150015
837.8549971580505	26	-135.7137440251899	-6.0524793500927085	60.54567592312844	-20.72056546619448	-325.7230308809334	20.0	0.0	10017	270459	28005	-143.40267251245206	-6.281252496644729
