Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	NumParams	ValAverageReturn	ValFinalReward
21.29697608947754	0	-168.61568894010887	-8.997969599401126	63.86305549709446	-45.92207989152247	-380.2964067368237	20.0	0.0	10017	10017	28005	-168.46709175154714	-9.079468492606532
41.004576206207275	1	-166.41271780741513	-8.8008404378349	64.19368672551698	-33.52290194753071	-356.4029385078231	20.0	0.0	10017	20034	28005	-166.17850182927282	-8.867010806543275
59.61344504356384	2	-166.1275390517477	-9.037969434294416	66.17301643895111	-24.91707863620297	-416.8082172056453	19.9979035639413	0.04573883486220424	10018	30052	28005	-167.59980214692274	-8.925260851596
78.21643233299255	3	-168.31526801926606	-8.920694536211974	66.81505214250525	-34.280272818198405	-377.4522935759033	20.0	0.0	10017	40069	28005	-161.7080995039245	-8.680057382636425
96.82843041419983	4	-164.83842824423036	-8.573105726673429	63.657740942720906	-29.894608736790467	-339.6373702269555	20.0	0.0	10017	50086	28005	-163.47243701369658	-8.584864153116666
115.43668866157532	5	-163.0173153299879	-8.523006890139929	65.90913139467139	-27.178620519844813	-355.7020162837549	20.0	0.0	10017	60103	28005	-164.46215337099193	-8.508043111237651
134.07482051849365	6	-161.8555831812953	-8.334667904257843	69.67452450636517	-28.22008728823612	-384.3229777199631	20.0	0.0	10017	70120	28005	-158.85277247388802	-8.096274383248915
152.76785469055176	7	-161.34042580509885	-8.327205387784847	67.56345148288788	-27.452506440450264	-398.62709268821203	20.0	0.0	10017	80137	28005	-159.37404962391298	-8.22716777087379
171.38849520683289	8	-157.60521092874197	-7.920063034328992	64.78473991859987	-26.92738002338243	-335.0175932766177	20.0	0.0	10017	90154	28005	-154.08307365321582	-7.66678595857502
190.04028487205505	9	-157.19864993411917	-7.869018140671053	59.47562160012126	-20.207541878293707	-373.19345184537764	20.0	0.0	10017	100171	28005	-152.55145997668612	-7.618711005732644
208.66027402877808	10	-155.11919819612683	-7.763047002945504	62.98658375268114	-28.52902341424111	-322.72437917757634	20.0	0.0	10017	110188	28005	-152.18841437835974	-7.540463567273879
227.4323332309723	11	-151.86812372387402	-7.473542094893403	65.39581104598547	-31.745350558801466	-341.5307287790124	20.0	0.0	10017	120205	28005	-150.9978849982938	-7.406116811428816
246.05318546295166	12	-157.40546310864684	-7.666208121419509	61.246446603614196	-32.090245236165394	-323.3405122210376	20.0	0.0	10017	130222	28005	-152.42750155035742	-7.270639756018541
264.6532390117645	13	-147.91771915859474	-7.175445292010127	68.0042541248786	-23.34513983993869	-353.2616085903177	20.0	0.0	10017	140239	28005	-149.916101105205	-7.205580652693994
283.3789315223694	14	-148.41926929011322	-7.095511081627216	65.64347087923488	-27.57651457694136	-344.7087694251625	20.0	0.0	10017	150256	28005	-150.9017905312041	-7.107854528457361
302.22363233566284	15	-150.81475081595653	-7.076453928419292	66.3131722672025	-26.942081211584775	-337.0634773041683	20.0	0.0	10017	160273	28005	-152.32288312102003	-7.062816657712151
321.6847598552704	16	-144.61689581110028	-6.756226048123468	67.41659827648164	-16.76815528805286	-458.18456962188685	20.0	0.0	10017	170290	28005	-146.74776460789596	-6.7993841057534965
340.37997817993164	17	-149.17917171853261	-6.892176647571308	68.97266999237847	-19.667024760403955	-444.9046993820482	20.0	0.0	10017	180307	28005	-142.9169432728451	-6.462480048823199
358.9521048069	18	-138.81984495625915	-6.2187040616077205	62.857838545439456	-20.752374012965827	-348.77950864336015	20.0	0.0	10017	190324	28005	-138.70322517696763	-6.20473055302483
377.5289008617401	19	-139.42708503792187	-6.254944643343078	62.39290331043901	-23.214733297228268	-339.7638044266701	20.0	0.0	10017	200341	28005	-135.98178160593764	-6.087102718088659
395.9262614250183	20	-137.15764155865276	-5.975264036467043	62.69093935209887	-23.69221008105053	-346.6484494335391	20.0	0.0	10017	210358	28005	-138.19871311429915	-6.207143736148478
414.3311071395874	21	-136.9978919339422	-5.847781042463048	61.43638782142764	-16.414980784566993	-330.4175646025995	20.0	0.0	10017	220375	28005	-139.37373758517927	-6.029635620127895
432.8131332397461	22	-130.50084410987003	-5.639211847580493	58.886484069487054	-24.999821580910183	-346.4652794286259	20.0	0.0	10017	230392	28005	-136.0667019897547	-5.8454465191344
451.48277497291565	23	-129.36567763589662	-5.507397899827074	59.52825835745024	-21.45974739061484	-399.88916212607245	20.0	0.0	10017	240409	28005	-136.90051385220357	-5.854621979480838
470.08953619003296	24	-135.06256413121756	-5.785736854558001	65.15364972378714	-21.68942529553972	-449.21671584129393	20.0	0.0	10017	250426	28005	-130.56508666235635	-5.463553674746381
488.62956953048706	25	-129.98546148852327	-5.4596114677593555	63.141185665996254	-7.099505444157499	-364.9029645730891	19.9769392033543	0.5031271834842467	10017	260443	28005	-134.7821630917122	-5.764367413567917
507.23929834365845	26	-128.87159769106793	-5.407910303526712	63.09807017258486	-23.35411669669335	-405.8625506394666	20.0	0.0	10017	270460	28005	-134.11631537585612	-5.7116989998077266
525.7733528614044	27	-130.2452786899451	-5.460949412792448	65.1389803963088	-19.99739417796935	-394.43558921820636	20.0	0.0	10017	280477	28005	-127.8351828532626	-5.401048939055737
544.3540115356445	28	-130.08715512376017	-5.341082741943073	61.14143397894249	-20.171456902358518	-360.9550851825772	20.0	0.0	10017	290494	28005	-128.6453516984779	-5.195128215762811
562.9902045726776	29	-125.76718988324134	-5.046090866091067	61.81920982263529	-16.011000511479775	-340.5158925848759	20.0	0.0	10017	300511	28005	-123.58615148958305	-5.0319608779057905
