,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-156.40853633203784,30.502493059487048,-208.36707769933477,-104.95023737859643,,
1,0,7.951931763679456,26.480805336055948,-29.334738547523877,61.50119233252447,1.0331859588623047,0.029858386144042015
2,1,144.46963632949297,19.933562112364402,112.43593987101389,169.27408858086125,0.049812085926532745,0.023733800277113914
3,2,178.65315346433653,40.49331621936776,110.205605708803,234.75467116415803,0.02273794636130333,0.014045804738998413
4,3,292.12841815516146,37.383134334409874,236.79146121063724,357.0159904822099,0.01753382943570614,0.008493269793689251
5,4,337.8453850703807,42.09609410242977,288.8253447412558,439.4681487220924,0.015055236406624317,0.010190008208155632
6,5,332.75483135167383,44.0683968036973,244.09885697343256,398.3977033965598,0.011151815764605999,0.009456269443035126
7,6,353.35681905084374,37.16801143389064,302.1433500324631,428.9834223740078,0.008452476933598518,0.008122602477669716
8,7,394.3861461941862,27.172710043850984,352.3525156297101,453.35487305363984,0.008062208071351051,0.011750249192118645
9,8,441.0702134123664,65.0842775538024,332.38040156346324,558.6614717250802,0.007127247750759125,0.007405503652989864
10,9,436.69977061116003,41.07811570007087,381.94877987251596,515.4506647279318,0.007374153472483158,0.006935657933354378
11,10,408.40383631188433,47.666563130347406,330.046072437564,501.8600025550259,0.007604554295539856,0.004675642587244511
