Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1607.5641238689423	59	168.69084	52.03089	277.57703	-69.08223	151.0	0.0	30049	1802940
1631.2094449996948	60	176.90346	46.623924	296.6233	-42.54239	151.0	0.0	30049	1832989
1654.3755140304565	61	175.02435	57.678024	284.34503	-60.991844	151.0	0.0	30049	1863038
1677.7090020179749	62	164.73567	73.781746	291.73392	-89.8015	151.0	0.0	30049	1893087
1700.8742289543152	63	166.6683	96.91194	317.94904	-92.85321	151.0	0.0	30049	1923136
1723.6002469062805	64	184.57477	80.53832	331.37592	-74.609566	151.0	0.0	30049	1953185
1747.2699019908905	65	187.64279	79.847664	327.0644	-77.38849	151.0	0.0	30049	1983234
1770.4690480232239	66	180.60933	64.18206	341.99704	-58.917633	151.0	0.0	30049	2013283
1793.664218902588	67	184.87029	69.2861	334.24908	-50.173874	151.0	0.0	30049	2043332
1816.6504819393158	68	199.17445	73.68143	339.48096	-74.937	151.0	0.0	30049	2073381
1840.1514611244202	69	199.21953	84.04899	347.3017	-80.90725	151.0	0.0	30049	2103430
1863.8315019607544	70	195.0976	92.22725	332.68774	-73.66606	151.0	0.0	30049	2133479
1886.7261719703674	71	161.15741	63.935486	336.99268	-59.90174	151.0	0.0	30049	2163528
1910.1514821052551	72	171.81383	65.89464	338.50323	-63.38839	151.0	0.0	30049	2193577
1933.0139329433441	73	195.0719	87.81516	348.66907	-80.380714	151.0	0.0	30049	2223626
1955.8219180107117	74	149.36221	122.55532	384.2906	-89.95033	151.0	0.0	30049	2253675
1979.2879948616028	75	152.3937	121.01196	355.47745	-86.54941	151.0	0.0	30049	2283724
2002.7383379936218	76	149.86938	104.81244	321.6217	-70.926865	151.0	0.0	30049	2313773
2025.964379787445	77	148.5261	66.29496	271.96445	-54.314796	151.0	0.0	30049	2343822
2048.408072948456	78	130.35709	64.35362	277.1582	-65.35766	151.0	0.0	30049	2373871
2071.5454840660095	79	112.09962	76.54611	268.4314	-56.16899	151.0	0.0	30049	2403920
2094.739280939102	80	116.695724	93.56931	305.59692	-65.46968	151.0	0.0	30049	2433969
2117.9830458164215	81	156.46921	103.27748	322.20764	-55.53574	151.0	0.0	30049	2464018
2141.893184900284	82	185.96791	90.27773	351.33838	-64.237564	151.0	0.0	30049	2494067
2164.961959838867	83	201.33963	75.1743	346.49905	-59.52735	151.0	0.0	30049	2524116
2188.775570869446	84	183.77371	61.23581	316.21133	-42.69654	151.0	0.0	30049	2554165
2213.1652710437775	85	184.18451	51.657383	323.39545	-25.2374	151.0	0.0	30049	2584214
2236.574052095413	86	188.21622	78.6498	325.46283	-70.475266	151.0	0.0	30049	2614263
2260.2377650737762	87	181.49718	81.29601	317.68744	-62.38316	151.0	0.0	30049	2644312
2283.915209054947	88	180.95529	98.30079	340.9831	-79.725334	151.0	0.0	30049	2674361
2307.0641260147095	89	167.77563	114.85231	338.19293	-81.61648	151.0	0.0	30049	2704410
2330.3822882175446	90	163.58136	104.34418	340.82965	-77.289276	151.0	0.0	30049	2734459
2353.6675770282745	91	180.40143	94.059425	343.31378	-72.591835	151.0	0.0	30049	2764508
2377.3734982013702	92	189.79843	84.003	385.85138	-51.926987	151.0	0.0	30049	2794557
2400.9487149715424	93	191.2276	71.79217	324.60394	-38.845093	151.0	0.0	30049	2824606
2424.026739835739	94	204.5574	61.93676	368.39328	-29.636524	151.0	0.0	30049	2854655
2447.1840538978577	95	213.593	60.749844	357.31317	-46.007767	151.0	0.0	30049	2884704
2470.786576986313	96	204.63419	71.63129	394.12283	-29.656996	151.0	0.0	30049	2914753
2494.523824930191	97	193.10382	72.94667	341.98865	-58.15618	151.0	0.0	30049	2944802
2518.0751810073853	98	204.80296	64.14632	334.81805	-50.155563	151.0	0.0	30049	2974851
2535.9057610034943	99	207.49399	66.83157	338.6294	-48.158234	151.0	0.0	30049	3004900
