,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-145.28370311335968,29.80125657673158,-190.26307823768872,-93.95352369877864,,
1,0,-0.7808164050850713,26.275374085007005,-48.28061787104639,33.388031578322675,1.0051658153533936,0.02748185768723488
2,1,68.76918277873385,24.301719962472728,37.889648048989606,115.61952807652709,0.0478774718940258,0.019992109388113022
3,2,132.4376037207634,31.70770068566173,76.71398737320891,196.87033679889905,0.01963292434811592,0.012443886138498783
4,3,186.4614726132254,28.182964598583172,132.70089054177822,224.5954073274208,0.017701691016554832,0.008235335350036621
5,4,250.54602435787828,36.02297727474719,201.00813202564348,331.94088812379835,0.013351025991141796,0.011809023097157478
6,5,241.17680482661626,46.07033932767184,164.47622528514364,299.6251218205124,0.009962747804820538,0.009598621167242527
7,6,282.83030281623076,29.57464520745645,233.1170188588326,342.156209810159,0.008807383477687836,0.009197314269840717
8,7,280.5282359526235,40.390713304234716,216.26444034132876,349.4549117532565,0.008859162218868732,0.005860297940671444
9,8,312.3874008732022,35.457075447165586,239.88784708895918,371.72279828271166,0.00786165613681078,0.0061132716946303844
10,9,297.8179361489903,59.63212008706147,160.31901318657512,381.7712206271806,0.007126653101295233,0.006526839919388294
11,10,350.2026746800815,38.41659839254579,287.99307697363855,415.18259054646427,0.006152365822345018,0.006506914738565683
