TotalTime	Timestep	MeanEpisodeReward	MaxMeanReturn
162.16899967193604	60000	-20.03174603174603	-inf
205.51155734062195	70000	-20.10810810810811	-inf
247.61479377746582	80000	-20.174418604651162	-inf
289.70707511901855	90000	-20.104166666666668	-inf
331.9353446960449	100000	-20.15	-20.11
374.22798562049866	110000	-20.18	-20.11
418.03114652633667	120000	-20.2	-20.11
460.48082160949707	130000	-20.24	-20.11
503.0207736492157	140000	-20.15	-20.11
545.7078189849854	150000	-20.14	-20.11
588.4927053451538	160000	-20.12	-20.11
631.3445570468903	170000	-20.09	-20.09
674.3242607116699	180000	-20.2	-20.09
717.3740651607513	190000	-20.14	-20.09
760.471821308136	200000	-20.17	-20.09
804.9892046451569	210000	-20.16	-20.09
848.4007411003113	220000	-20.22	-20.09
891.8332426548004	230000	-20.29	-20.09
935.3074328899384	240000	-20.36	-20.09
978.9016909599304	250000	-20.36	-20.09
1022.5645599365234	260000	-20.34	-20.09
1066.268581867218	270000	-20.29	-20.09
1110.0376827716827	280000	-20.21	-20.09
1154.0031094551086	290000	-20.26	-20.09
1198.0057182312012	300000	-20.24	-20.09
1242.2189400196075	310000	-20.23	-20.09
1287.4960098266602	320000	-20.19	-20.09
1332.4587087631226	330000	-20.15	-20.09
1376.8118915557861	340000	-20.1	-20.09
1421.3377177715302	350000	-20.06	-20.04
1465.9649140834808	360000	-20.08	-20.04
1510.6869575977325	370000	-20.16	-20.04
1555.5097835063934	380000	-20.21	-20.04
1600.3314819335938	390000	-20.18	-20.04
1645.3676807880402	400000	-20.23	-20.04
1690.3759903907776	410000	-20.21	-20.04
1735.5707125663757	420000	-20.18	-20.04
1780.8379187583923	430000	-20.14	-20.04
1826.2064607143402	440000	-20.19	-20.04
1871.5959167480469	450000	-20.17	-20.04
1917.0652840137482	460000	-20.17	-20.04
1962.6530454158783	470000	-20.11	-20.04
2008.391214132309	480000	-20.18	-20.04
2055.678000688553	490000	-20.19	-20.04
2101.557864189148	500000	-20.16	-20.04
2147.4654014110565	510000	-20.2	-20.04
2193.5309476852417	520000	-20.24	-20.04
2239.697824239731	530000	-20.26	-20.04
2285.866894721985	540000	-20.26	-20.04
2332.274091243744	550000	-20.28	-20.04
2378.6175379753113	560000	-20.35	-20.04
2425.10066986084	570000	-20.34	-20.04
2471.65811252594	580000	-20.3	-20.04
2518.342616081238	590000	-20.32	-20.04
2565.146032333374	600000	-20.35	-20.04
2611.935933113098	610000	-20.3	-20.04
2658.8495774269104	620000	-20.29	-20.04
2705.854561328888	630000	-20.29	-20.04
2752.975569486618	640000	-20.31	-20.04
2800.183049917221	650000	-20.29	-20.04
2847.5320699214935	660000	-20.29	-20.04
2894.8157596588135	670000	-20.23	-20.04
2942.2481560707092	680000	-20.21	-20.04
2989.839252948761	690000	-20.19	-20.04
3039.4771847724915	700000	-20.19	-20.04
3087.1535909175873	710000	-20.18	-20.04
3134.9918687343597	720000	-20.11	-20.04
3182.966349840164	730000	-20.07	-20.04
3230.9803006649017	740000	-19.95	-19.95
3278.9934237003326	750000	-19.84	-19.84
3327.1846120357513	760000	-19.66	-19.66
3375.457853794098	770000	-19.5	-19.5
3423.7766194343567	780000	-19.36	-19.36
3472.2756822109222	790000	-19.21	-19.21
3520.748807668686	800000	-19.05	-19.05
3569.442313671112	810000	-18.84	-18.84
3618.187504053116	820000	-18.78	-18.78
3666.9437499046326	830000	-18.59	-18.59
3715.8450634479523	840000	-18.35	-18.35
